시장/마트 번호,시장/마트 이름,품목 이름,가격(원),년도-월,점검일자,시장유형 구분(시장/마트) 코드,시장유형 구분(시장/마트) 이름,자치구 이름
1,통인시장,사과(부사 300g),3000,18-Aug,2018-08-30,1,전통시장,종로구
1,통인시장,배(신고 600g),3000,18-Aug,2018-08-30,1,전통시장,종로구
1,통인시장,배추(중간),10000,18-Aug,2018-08-30,1,전통시장,종로구
1,통인시장,무(세척무 중),4500,18-Aug,2018-08-30,1,전통시장,종로구
1,통인시장,양파(1.5kg망),4000,18-Aug,2018-08-30,1,전통시장,종로구
1,통인시장,상추(100g),1250,18-Aug,2018-08-30,1,전통시장,종로구
1,통인시장,오이(다다기),700,18-Aug,2018-08-30,1,전통시장,종로구
1,통인시장,호박(인큐베이터),1200,18-Aug,2018-08-30,1,전통시장,종로구
1,통인시장,쇠고기(한우불고기),22000,18-Aug,2018-08-30,1,전통시장,종로구
1,통인시장,돼지고기(생삼겹살),13000,18-Aug,2018-08-30,1,전통시장,종로구
1,통인시장,닭고기(육계),5000,18-Aug,2018-08-30,1,전통시장,종로구
1,통인시장,달걀(10개),2000,18-Aug,2018-08-30,1,전통시장,종로구
1,통인시장,달걀(30개),5500,18-Aug,2018-08-30,1,전통시장,종로구
1,통인시장,조기(냉동수입산),5000,18-Aug,2018-08-30,1,전통시장,종로구
1,통인시장,명태(러시아냉동),4000,18-Aug,2018-08-30,1,전통시장,종로구
1,통인시장,오징어(생물국산),4000,18-Aug,2018-08-30,1,전통시장,종로구
1,통인시장,고등어(생물국산),5000,18-Aug,2018-08-30,1,전통시장,종로구
10,용문시장,사과(부사 300g),2500,18-Aug,2018-08-30,1,전통시장,용산구
10,용문시장,배(신고 600g),2500,18-Aug,2018-08-30,1,전통시장,용산구
10,용문시장,배추(중간),3700,18-Aug,2018-08-30,1,전통시장,용산구
10,용문시장,무(1kg),3500,18-Aug,2018-08-30,1,전통시장,용산구
10,용문시장,양파(1.5kg망),2200,18-Aug,2018-08-30,1,전통시장,용산구
10,용문시장,상추,1667,18-Aug,2018-08-30,1,전통시장,용산구
10,용문시장,오이(다다기),1000,18-Aug,2018-08-30,1,전통시장,용산구
10,용문시장,애호박,1600,18-Aug,2018-08-30,1,전통시장,용산구
10,용문시장,쇠고기(한우불고기),28200,18-Aug,2018-08-30,1,전통시장,용산구
10,용문시장,돼지고기(삼겹살),13080,18-Aug,2018-08-30,1,전통시장,용산구
10,용문시장,닭고기(육계),6000,18-Aug,2018-08-30,1,전통시장,용산구
10,용문시장,달걀(10개),2900,18-Aug,2018-08-30,1,전통시장,용산구
10,용문시장,달걀(30개),6000,18-Aug,2018-08-30,1,전통시장,용산구
10,용문시장,조기(국산냉동),1429,18-Aug,2018-08-30,1,전통시장,용산구
10,용문시장,명태(러시아냉동),3000,18-Aug,2018-08-30,1,전통시장,용산구
10,용문시장,오징어(생물국산),3333,18-Aug,2018-08-30,1,전통시장,용산구
10,용문시장,고등어(생물국산),3000,18-Aug,2018-08-30,1,전통시장,용산구
11,남대문시장,사과(부사 300g),2000,18-Aug,2018-08-30,1,전통시장,중구
11,남대문시장,배(중품),2300,18-Aug,2018-08-30,1,전통시장,중구
11,남대문시장,배추(중간),8500,18-Aug,2018-08-30,1,전통시장,중구
